ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
58316,WiGate S.r.l.,8,3,0,0
57142,Fiber 23 SRL,8,96,5,3
31121,WpWeb S.r.l.,8,3,0,0
24717,PATRIMONIO CITTA' DI SETTIMO TORINESE S.R.L.,8,1,0,0
213111,Studio Armonia S.r.l.,8,1,0,0
203848,Wireless Group Communications S.r.l.,8,9,0,0
197650,AirMax S.r.l.,8,8,0,0
47875,Provincia di Padova,7,7,0,0
42180,Wintech S.p.a.,7,1,0,0
25488,Comune di Novara,7,1,0,0
212271,Cinzia Tocci trading as C1V,7,4,16,356
211886,STEL S.R.L.,7,1,0,0
210224,SNAP SYSTEM SRL,7,1,0,0
205926,AUXILIUM S.R.L.,7,4,0,0
205139,Lepida S.c.p.A.,7,1,0,0
198434,NETALIA S.R.L.,7,8,0,0
198349,Baleno S.r.l.,7,1,0,0
47902,Retelit Digital Services S.p.A.,6,51,3,3
3313,BT Italia S.p.A.,6,35,1,1
25569,InfoCamere SCpA,6,1,0,0
211360,FEDERICO BOVE trading as HATHOST,6,1,4,5
204903,FLASHSTART GROUP SRL,6,5,2,4
12551,ENEL S.p.A,6,30,0,0
12445,A2A Smart City S.P.A,6,14,0,0
6882,Regione Toscana,5,3,1,3
62290,Tecnoservizi S.r.l.,5,4,0,0
60049,CPL CONCORDIA Soc. Coop.,5,5,1,3
58082,Messagenet S.p.A.,5,2,0,0
57144,BCC SISTEMI INFORMATICI S.P.A.,5,26,0,0
31495,Safety 21 Spa,5,3,0,0
215664,MULTI SERVICE S.R.L.S.,5,2,47,16
212686,Speed Wifi Srls,5,4,4,1
207042,Siav S.p.A.,5,4,3,1
206821,Webcom TLC srl,5,1,0,0
204622,Nebula Fiber s.r.l.,5,3,0,0
204546,Comune di Padova,5,1,0,0
202308,PASUBIO TECNOLOGIA SRL,5,1,0,0
200767,Esselunga S.p.A.,5,5,0,0
16297,WIIT S.p.A.,5,4,0,0
56320,VIKING SRL,4,2,0,0
5602,IRIDEOS S.P.A.,4,32,1,2
50891,Moviement srl,4,9,0,0
44942,Digitalreti srl,4,10,0,0
44831,Insiel- Informatica per il sistema degli enti locali S.p.A,4,26,3,3
43976,Poste Italiane S.p.A.,4,8,0,0
41849,NETSTORMING S.R.L.,4,9,4,3
28831,Phoenix Informatica SRL,4,9,0,0
24817,Deda Cloud SRL,4,4,1,1
214677,Matteo Martelloni trading as DELUXHOST,4,2,0,0
206693,TEAMSYSTEM S.P.A.,4,4,0,0
203726,Wirlab srl,4,8,1,1
201935,Skylogic Mediterraneo s.r.l,4,12,0,0
200311,PRE WIFI SRL,4,4,0,0
199744,itesys srl,4,7,0,0
198772,Costa Crociere S.p.a.,4,3,0,0
13284,Playnet S.R.L.,4,3,2,1
13180,CEDACRI S.P.A.,4,10,0,0
8911,TESLATEL SRL,3,2,0,0
8217,ENI S.p.A.,3,4,0,0
6831,Net & Com s.r.l.,3,2,1,1
61315,SED Multitel s.r.l.,3,21,0,0
60756,APV INVESTIMENTI S.P.A.,3,1,0,0
60706,SARDEGNA WIFI SRL,3,8,2,3
60460,Aziende Italia S.r.l.,3,11,1,1
57525,GRANDI NAVI VELOCI SPA,3,5,0,0
57469,Azienda Pubbliservizi Brunico,3,16,0,0
57394,EPIC NETWORKS S.R.L.,3,2,2,1
56641,ANIMA SGR S.P.A.,3,1,2,1
51065,Banca Passadore & C. S.p.A.,3,1,0,0
50196,MYNET S.R.L.,3,3,0,0
50178,Limitis s.r.l.,3,5,2,1
49265,Cooperativa Sociale Galileo A.r.l.,3,14,0,0
48815,Critical Case s.r.l,3,36,0,0
48382,Microdata Group SRL,3,13,0,0
47568,LAN SERVICE s.r.l.,3,7,0,0
47178,Connessioni Metropolitane S.r.l.,3,5,0,0
47136,Generali Operations Service Platform S.r.l.,3,20,0,0
44567,Technology Transfer Intercontinental S.R.L,3,3,3,2
44473,S.T. S.r.l.,3,26,0,0
44091,SISTEMI SPA,3,5,0,0
43364,Medi@net S.r.l.,3,21,1,2
42515,ACI informatica s.p.a.,3,3,0,0
41986,Sardegna IT srl,3,3,0,0
41325,REGIONE MARCHE,3,1,0,0
35066,FOSCHI IMPIANTI S.N.C. DI FOSCHI EURO E C.,3,1,0,0
31570,Benetton Group S.R.L.,3,1,0,0
31222,Mewecom Italia spa,3,3,1,1
29094,Banca Mediolanum S.p.A.,3,11,0,0
29082,BRT S.p.A.,3,5,0,0
29036,NOTARTEL S.p.A. - SOCIETA' INFORMATICA DEL NOTARIATO - SOCIETA' BENEFIT,3,3,0,0
28675,AGSM AIM Smart Solutions SRL,3,1,0,0
25518,ZUCCHETTI SPA,3,24,0,0
25002,A2A Smart City S.P.A,3,5,0,0
215186,Premiere S.R.L.S.,3,4,4,1
21451,Banca Sella Holding S.p.A.,3,24,0,0
212753,Luxottica Group S.p.A.,3,2,0,0
212700,Totalconn SRL,3,1,0,0
211122,Radio dimensione suono S.p.a,3,2,0,0
21086,TeleMedia.net srl,3,4,0,0
210657,ERMES WIFI SRL,3,4,0,0
21058,NETWORK SISTEMI S.R.L.S.,3,15,0,0
20942,Intesa Sanpaolo S.p.A.,3,8,0,0
208919,Data Felix srl,3,1,0,0
208877,Sistel Srl,3,8,0,0
208862,SIRIANNI INFORMATICA S.R.L. IN SIGLA SIRINFO S.R.L.,3,9,0,0
208244,Easyweb System Integrator srl,3,3,0,0
20794,EUR TEL S.r.l.,3,2,0,0
207937,Devis Tognoni trading as DBS Elettronica S.N.C,3,2,0,0
207157,CAME S.P.A.,3,4,0,0
207146,Netikom SRL,3,3,1,1
