ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
203503,TICAE TELECOM S.L.,3,5,2,2
202169,"AVATEL TELECOM, SA",3,6,1,1
202097,IBERMUTUA,3,1,0,0
201099,HAVAS MEDIA GROUP SPAIN SA,3,1,0,0
200960,Soluciones web on line s.l.,3,7,0,0
200811,Free Technologies Excom S.L.,3,15,0,0
200072,Gestel Teleservice 2000 S.L.,3,5,0,0
199952,Television Costablanca S.L.,3,15,3,1
199760,Pau Poyatos Fuentes,3,21,0,0
199329,BANCO MEDIOLANUM SA,3,1,0,0
199272,Accelya World SLU,3,4,0,0
198968,Cyberneticos Hosting SL,3,3,0,0
198853,Fundacion ikerbasque,3,4,3,2
198731,Prisco Electronica S.L.,3,5,2,1
198454,SISTEC TELECOM S.L.,3,7,1,1
198355,I.T.M. Instalaciones y Mantenimiento de Telecomunicaciones S.L.,3,9,0,0
197876,ICM Netsystems 2005 SL,3,9,2,1
197829,Gobierno de Navarra,3,6,0,0
16299,XFERA Moviles S.A.,3,2,0,0
15548,"Cajamar Caja Rural, Sociedad Cooperativa de Credito",3,7,0,0
15450,Alhambra Systems SA,3,23,2,1
12521,Nova Internet S.L.,3,22,0,0
12462,Evolutio Cloud Enabler S.A. Unipersonal,3,6,2,1
9094,NEXTLEVEL CONNECTIVITY S.L.,2,1,0,0
9075,Unidad Editorial SA,2,1,0,0
9052,Unidad Editorial SA,2,1,1,1
8239,NEXTLEVEL CONNECTIVITY S.L.,2,2,2,1
8216,"INDRA SISTEMAS, S.A.",2,9,0,0
6750,"Soluciones Dinamicas de la Red, S.L.",2,2,0,0
62332,"AVATEL TELECOM, SA",2,21,2,1
62104,Computer Service Internet Service Provider S.L.,2,8,1,1
62043,REPSOL S.A.,2,5,0,0
61181,"METRO DE MADRID, S.A.",2,1,0,0
60609,APFUTURA TELECOM SL,2,39,0,0
60508,T.V.C. PINOS PUENTE SL,2,9,0,0
60203,Innovaciones Tecnlogicas del Sur S.L.,2,44,0,0
59499,Mutua Madrilena Automovilista Sociedad De Seguros a Prima Fija,2,3,0,0
58327,FIBERGREEN TECNOLOGICAS S.L.,2,25,1,1
57337,VR Telecom SL,2,5,0,0
57269,DIGI SPAIN TELECOM S.L.,2,14,1,1
57117,Rural Servicios Informaticos SL,2,4,0,0
57074,Waytel Fibra SL,2,11,0,0
56909,TD PR ARLU S.A,2,11,0,0
56551,Ayuntamiento Rivas Vaciamadrid,2,1,0,0
56345,TVB TELEDISTRIBUCION S.L.,2,8,0,0
51753,"Compania TRASMEDITERRANEA, S.A.",2,1,0,0
51415,Securitas Seguridad Espana S.A.,2,2,0,0
51152,"VALORACIONES MEDITERRANEO, SA",2,4,0,0
50816,INSTITUTO TECNOLOGICO DEL CALZADO Y CONEXAS INESCOP,2,1,0,0
50564,Electronica Martinez de Cartagena S.L.,2,50,0,0
50335,PANDA SECURITY S.L.,2,2,0,0
50235,European Union Intellectual Property Office,2,5,0,0
49940,FERIA INTERNACIONAL DE BARCELONA,2,13,2,1
49934,FREMAP MUTUA COLABORADORA CON LA SEGURIDAD SOCIAL N 61,2,7,0,0
49650,"Everex Comunicaciones, S.A.",2,7,0,0
49538,Partido Socialista Obrero Espanol (PSOE),2,1,0,0
49212,"REALE SEGUROS GENERALES, S.A",2,1,0,0
49178,Nadunet Telecom S.L,2,3,0,0
49173,"Telecable Almonte, S.L.",2,4,0,0
49118,GYD IBERICA SA,2,1,0,0
48864,Centro Municipal de Informatica de Malaga,2,1,0,0
48640,MAZ Mutua Colaboradora con la Seguridad Social N. 11,2,3,1,1
48341,Proveedores de Presencia en Internet S.L.,2,1,0,0
48202,"ODEC, CENTRO DE CALCULO Y APLICACIONES INFORMATICAS, S.A.",2,9,0,0
48187,ARABAKO FORU ALDUNDIA / DIPUTACION FORAL DE ALAVA,2,1,0,0
48048,"INDRA SISTEMAS, S.A.",2,4,0,0
47683,MULTICANAL DEL CABLE TVM SL,2,2,0,0
44998,GOBIERNO DE CANARIAS,2,8,2,1
44989,AERNNOVA AEROSPACE SA Unipersonal,2,1,0,0
44593,Fundacion Centro de Supercomputacion de Castilla y Leon,2,3,2,1
44466,"Ibertic Soluciones, S.L.",2,12,0,0
44280,Diputacio de Girona,2,1,0,0
44233,SPC Net Soluciones de Negocio Electronico S.L.,2,5,1,2
44051,Fornex Hosting S.L.,2,45,0,0
43655,SENER Mobility S.A.U.,2,8,1,1
43388,Avancem amb Voste S.L.,2,3,0,0
42816,"FLUMOTION SERVICES, S.A.",2,1,0,0
42722,Grifols S.A.,2,1,0,0
42212,NALANDA GLOBAL S.A.,2,1,0,0
41994,"ATRADIUS CREDITO Y CAUCION SA, DE SEGUROS Y REASEGUROS",2,1,0,0
41876,IGNACIO JOSE PLA CUCO,2,4,0,0
41705,Grupo Baladig SL,2,4,0,0
41541,sw hosting & communications technologies SL,2,20,0,0
41368,Spotting Brands Technologies S.L.,2,28,0,0
41072,Fabrica Nacional de Moneda y Timbre,2,1,0,0
39398,ARSENET SERVICIOS EN INTERNET S.L.,2,5,0,0
39353,Gobierno del Principado de Asturias,2,4,0,0
39263,Ilimit Comunicacions S.L.,2,4,0,0
39144,Redes Digitales de Telecomunicacion en Internet SL,2,54,0,0
35486,AXENTIO SL,2,4,0,0
35454,"Asitur Asistencia, S.A.",2,9,0,0
35167,Promocion Tecnologica y Comercial S.A.,2,1,0,0
34511,Fundacion Integra,2,5,2,2
3324,"Fujitsu Technology Solutions, S.A.",2,7,0,0
31627,REDSYS SERVICIOS DE PROCESAMIENTO SL,2,2,0,0
31164,LABORATORIOS DEL DOCTOR ESTEVE SA,2,1,0,0
30846,"MAPFRE INTERNET, S.A.",2,4,0,0
29661,AGENCIA NOTARIAL DE CERTIFICACION S.L,2,8,0,0
29481,Junta de Castilla y Leon,2,2,0,0
29337,Dragonet Comunicaciones SL,2,19,0,0
25589,IPv6 Informatica S.L.,2,4,1,1
25487,Digital Value SL,2,1,0,0
25479,IT Now S.A.,2,5,0,0
25412,"CORPORACIO CATALANA DE MITJANS AUDIOVISUALS, S.A.",2,2,0,0
25356,SECURITAS DIRECT ESPANA S.A.U.,2,7,0,0
25297,COMSA EMTE SL,2,1,0,0
25247,IBERCAJA BANCO SA,2,1,0,0
24920,Sociedad Estatal de Loterias y Apuestas del Estado S.A.,2,1,0,0
24830,"CIRCUITOS ALJARAFE, S.L.",2,8,0,0
24772,FACTORIA PRISA NOTICIAS S.L. Sociedad Unipersonal,2,1,0,0
216371,IPGLOBAL S.L.,2,1,2,1
216034,NETKIA SOLUCIONES S.L.,2,1,0,0
215927,"SURWITEL COMUNICACIONES, S.L.",2,9,0,0
214954,CATALUNYA TELECOM S.L.,2,4,0,0
214678,Total WiFi SL,2,10,0,0
214470,Carmen Rocio Jimenez Pulido,2,1,0,0
21364,Lantik S.A. M.P.,2,1,0,0
213336,IT ENCORE TECNOLOGIA SL,2,5,0,0
213005,Invermae Solutions SL,2,17,0,0
212849,"J.C. TECNICS, S.L.",2,6,0,0
212812,CUSTOS messium SLNE,2,2,1,1
212458,"IESE, Universidad de Navarra",2,2,0,0
212332,Agustina Sempere Ruiz trading as Thinco Telecom,2,1,11,5
212230,VIESGO INFRAESTRUCTURAS ENERGETICAS S.L.,2,1,0,0
212059,TESTIGOS CRISTIANOS DE JEHOVA,2,1,1,1
212017,Gerardo Cubillo Torralba Empresa Constructora S.L,2,10,0,0
211974,"Airecom Internet, S.L.",2,4,2,2
211874,Axarfusion S.L.,2,5,0,0
211811,TM DIGITAL GRANADA S.L.,2,2,0,0
211554,ANA MARIA RODRIGUEZ SANTOS,2,9,0,0
211471,iLoveFibra S.L.,2,3,0,0
2114,ESCUELAS DE ESTUDIOS SUPERIORES ESIC SACERDOTES DEL CORAZON DE JESUS PADRES REPARADORES,2,1,0,0
211359,BINTER SISTEMAS SL,2,3,0,0
211348,FERCA TECNOLOGIES SL,2,2,0,0
211320,Bonarea Energia SLU,2,1,0,0
211262,GP Limite Andamur SL,2,1,2,2
211074,ESPUBLICO SERVICIOS PARA LA ADMINISTRACION SA,2,1,0,0
210995,TECNOLOGIAS DE LA INFORMACION Y REDES PARA LAS ENTIDADES ASEGURADORAS SA,2,3,0,0
210423,"ATUAXANELA, S.L.",2,16,0,0
210181,Pablo Sarria Perez,2,1,2,1
210007,INSTITUCION FERIAL DE MADRID,2,4,0,0
209984,IBERWIX TELECOM S.L.,2,4,0,0
209923,GRUPO INFORMATICA PACO SECILLA SL,2,5,0,0
209919,"AMH Servicios Informaticos,sc",2,1,0,0
209866,VINFORTALIA SL,2,3,0,0
209803,FIBER CITY NETWORKS SLU,2,1,0,0
209776,ADVIENTIA TELECOMUNICACIONES SL,2,2,0,0
209774,JUMBO TOURS ESPANA SL,2,2,0,0
209690,TELECOMUNICACIONES AVENIDA SL,2,4,0,0
209662,Corporacion de Radio y Television Espanola S.A.,2,3,0,0
209589,"VOITIC, SL",2,2,2,1
209535,ITEGAL SERVICIOS TIC S.L.,2,17,0,0
209370,TELCIA COMUNICACIONES S.L.,2,6,0,0
209195,CAJA DE SEGUROS REUNIDOS COMPANIA DE SEGUROS Y REASEGUROS SA,2,1,0,0
209170,"NOVATEL DIGITAL, SL",2,6,0,0
20906,Allianz Compania De Seguros y Reaseguros SA,2,1,0,0
20905,Banco de Espana,2,4,2,4
208863,Punto Fa SL,2,5,0,0
208823,Servei de Informatica Local de Menorca,2,1,0,0
208738,Carcon Networks S.L.,2,4,0,0
208635,Diputacion Provincial Alicante,2,1,0,0
208572,Muba Online SL,2,1,0,0
208486,IPARFIBRA SL,2,2,0,0
208257,CELENETWORKS SL,2,2,1,2
208027,"GESTAMP SERVICIOS, S.A.",2,1,0,0
207975,Meditel Network SL,2,2,0,0
207944,"CAPETA-SYSTEM, S.L.",2,9,0,0
207906,JORGE VICENTE CASTELLET MARQUES,2,4,1,1
207717,Icatel Network S.L.,2,3,0,0
207714,Fundacion Tecnalia Research and Innovation,2,16,1,2
207628,Eduardo Senin Herrero,2,1,2,1
207415,"Nicepeopleatwork, S.L.",2,2,1,1
207367,Nippon Gases Euro-Holding S.L.U.,2,2,2,1
207294,"TNS GRUPO OLIVA VALLEY, SL",2,6,0,0
207191,T2O AD MEDIA SERVICES S.L.,2,1,0,0
207174,Jeyca Tecnologica Y Medio Ambiente SL,2,17,0,0
