Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.236.53,2001:7f8:4:1::f25c:3,c4ca.2bff.d855,Equinix LD4 (EQ4),edge5-eq4-lon2 ce4/1,100G,100000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Mythic Beasts,http://www.mythic-beasts.com,44684,Open,195.66.236.72,2001:7f8:4:1::ae8c:1,b8ce.f6ca.e0c4,Telehouse West (THW),edge1-thw-lon2 xe22,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
InetCom LLC,http://,35598,Selective,195.66.224.242,2001:7f8:4::8b0e:1,24fc.4e5e.2da4,Telehouse North (THN),core3-thn ae211 VLAN: 207,ConneXions,10000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
LogicForge Limited,http://www.logicforge.co.uk,208621,Open,195.66.227.220,2001:7f8:4::3:2eed:1,444c.a82d.1cfb,Telehouse North (THN),edge6-thn xe-3/0/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Mymanga Networks LTD,http://,329029,Open,196.60.114.1,2001:43f8:16d0::5:545:2,d401.c336.e297,Africa Data Centre (ADN),edge1-adn-nai1 ethernet-1/2/3,10G,10000,Regular,LINX Nairobi,full,rs2.nai1,rs1.nai1,
JT (Jersey) Limited,http://www.jerseytelecom.com,8681,Open,195.66.236.180,2001:7f8:4:1::21e9:1,4006.d5e7.d9a2,Equinix LD9 Powergate (TCA),edge2-tca-lon2 ce1/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Fastnet,http://www.ucanet.ru,43404,Open,195.66.226.242,2001:7f8:4::a98c:1,e8b6.c2a9.9020,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 750,ConneXions,200,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Freethought Internet Limited,http://www.freethought-internet.co.uk,41000,Open,195.66.244.78,2001:7f8:4:2::a028:1,e0ac.f138.27e1,Equinix MA1 Williams House (TCW),edge5-tcw-man1 xe6 VLAN: 601,ConneXions,1000,ConneXions,LINX Manchester,ConneXions-full,rs2.man1,rs1.man1,
Bayan Telecommunications,http://www.bayan.com.ph,6648,Open,195.66.226.7,2001:7f8:4::19f8:1,68ab.095e.69a5,Telehouse North (THN),core3-thn et-2/2/3 VLAN: 121,ConneXions,300,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
AVR Group Limited,http://monitoring.co.uk,42009,Open,195.66.236.78,2001:7f8:4:1::a419:1,aa00.0025.407e,Interxion LON2 (IN2),edge1-in2-lon2 xe20 VLAN: 2496,ConneXions,1000,ConneXions,LINX LON2,full,,,
Mila ehf,http://www.siminn.is,6677,Selective,195.66.225.26,2001:7f8:4::1a15:1,e4c7.2233.6421,Telehouse West (THW),core3-thw et-3/5/3,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Google,http://www.google.com/,396982,Open,185.1.126.13,2001:7f8:d1::3b41:2,ec94.d515.f11f,MENA Gateway (MG1).(STJ),edge1-stj-jed1 xe6,10G,10000,Regular,Jeddah IX,full-jedix_customer,rs2.jed1,rs1.jed1,
Clearstream Group,http://www.clearstreamgroup.co.uk/,59455,Open,195.66.238.129,2001:7f8:4:1::e83f:1,e443.4b16.96f1,Digital Realty Cloud House West (TCM),edge1-tcm-lon2 xe1,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Blix Solutions AS,https://www.blix.com,50304,Selective,195.66.225.9,2001:7f8:4::c480:1,008a.96c0.7ca4,Equinix LD8 Harbour Exchange (TCH),core3-tch et-3/0/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Disney Streaming,http://,23344,Open,195.66.231.138,2001:7f8:4::5b30:1,cc1a.a313.cf79,Equinix LD6 (EQ4),edge1-eq4 5/1/c36/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Equinix,http://www.equinix.com/,15830,Selective,195.66.236.82,2001:7f8:4:1::3dd6:1,2c21.3122.e211,Equinix LD8 Harbour Exchange (TCH),edge4-tch-lon2 ce15/1,100G,100000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Oscar Music & Media Limited,http://openimp.com/,47998,Open,195.66.238.168,2001:7f8:4:1::bb7e:1,a036.9f2a.731a,Interxion LON2 (IN2),edge1-in2-lon2 xe9,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Viettel Group,http://viettel.com.vn/vi,7552,Selective,195.66.226.166,2001:7f8:4::1d80:3,78ba.f940.dc47,Telehouse North (THN),core3-thn ae204.0 VLAN: 1764,ConneXions,20000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Nuco Technologies Ltd,http://www.host-it.co.uk,45014,Open,195.66.225.55,2001:7f8:4::afd6:1,7483.ef95.dbb4,Telehouse North (THN),edge6-thn xe-2/0/10,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
TikTok Technology Limited,https://www.tiktok.com/,396986,Selective,185.1.126.14,2001:7f8:d1::6:eba:1,a069.d919.d98f,MENA Gateway (MG1).(STJ),edge4-stj-jed1 ce9/1,100G,100000,Regular,Jeddah IX,full-jedix_customer,rs2.jed1,rs1.jed1,
Wavenet Limited,http://www.wavenetuk.com,21267,Selective,195.66.226.37,2001:7f8:4::5313:1,003a.9c41.4141,Telehouse North2 (TH2),edge2-th2 1/x1/1/c9/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
EuNetworks GmbH,http://www.eunetworks.com,13237,Open,195.66.224.99,2001:7f8:4::33b5:1,c609.b731.9e72,Interxion LON2 (IN2),core3-in2 et-2/4/0,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
RISE.ph,http://rise.ph,63927,Open,195.66.227.11,2001:7f8:4::f9b7:1,8ad9.8fe9.b83b,Equinix LD6 (EQ4),edge1-eq4 4/1/c16/1 VLAN: 608,ConneXions,250,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
EdgeCast Networks,http://www.edgecast.com,15133,Selective,195.66.244.123,2001:7f8:4:2::3b1d:1,204e.71e3.44bc,Equinix MA1 Williams House (TCW),edge5-tcw-man1 xe7,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
Eloquent Technologies,http://www.eloquent-technologies.com/,201277,Open,195.66.236.94,2001:7f8:4:1:0:3:123d:1,2c54.2d0d.a3c0,Telehouse North (THN),edge1-thn-lon2 xe16,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Centrilogic,http://www.centrilogic.com,44332,Open,195.66.227.136,2001:7f8:4::ad2c:1,e4fc.82e0.cfab,Telehouse North (THN),edge6-thn xe-6/0/12,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Public Internet Ltd,http://www.public-internet.co.uk/,28792,Open,195.66.224.131,2001:7f8:4::7078:1,00f2.8b85.4b40,Telehouse East (THE),edge1-the 2/x1/1/c5/4,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Cisco Cloud Web Security,http://www.cisco.com,35180,Selective,195.66.226.106,2001:7f8:4::896c:1,78bc.1a20.0bc4,Equinix LD6 (EQ4),edge2-eq4 2/x1/1/c11/4,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Vorboss Limited,http://www.vorboss.com,25160,Open,195.66.225.216,2001:7f8:4::6248:1,5c83.82bc.b468,Telehouse West (THW),core4-thw et-2/3/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Astutium Ltd,https://www.astutium.com,29527,,195.66.224.244,2001:7f8:4::7357:1,0025.9010.45aa,Telehouse North (THN),edge6-thn xe-1/1/21,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Simply Transit,http://www.simplytransit.net/,29550,Selective,195.66.226.193,2001:7f8:4::736e:2,14b3.a1b0.8dcd,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c5/3,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
VTX Services,http://www.vtx-telecom.ch/,12350,Open,195.66.225.129,2001:7f8:4::303e:1,0027.0dad.8160,Telehouse North (THN),core4-thn et-2/2/0 VLAN: 815,ConneXions,1000,ConneXions,LINX LON1,full,,,
31173 Services AB,http://www.31173.se/,39351,Open,195.66.226.62,2001:7f8:4::99b7:1,b033.a669.7829,Interxion LON2 (IN2),core3-in2 xe-3/0/1,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Musarubra UK Subsidiary 3 Ltd,http://,205272,Open,195.66.236.89,2001:7f8:4:1::3:21d8:1,deff.ef3a.2779,Equinix LD4 (EQ4),edge3-eq4-lon2 ce16/1,100G,100000,Regular,LINX LON2,full,,,
GNX B.V.,http://,42156,Open,195.66.231.126,2001:7f8:4::a4ac:2,08b2.58df.9d85,Equinix LD6 (EQ4),edge2-eq4 2/x1/1/c5/3,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Stelia Ltd,http://,212175,Open,195.66.236.32,2001:7f8:4:1::3:3ccf:1,74e7.9834.e8d3,Telehouse North2 (TH2),edge2-th2-lon2 ce5/1 VLAN: 2904,ConneXions,10000,ConneXions,LINX LON2,ConneXions-full,rs4.lon2,rs2.lon2,
BBC,http://www.bbc.co.uk/,2818,Open,195.66.224.88,2001:7f8:4::b02:5,d0dd.4942.5fd0,Equinix LD6 (EQ4),edge1-eq4 4/1/c17/1,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
INTERKVM HOST SRL,https://zetservers.com,6204,Open,195.66.224.209,2001:7f8:4::183c:1,fcbd.6758.4577,Telehouse North (THN),core4-thn et-4/0/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Bangladesh Telecommunications Company Limited(BTCL),http://,17494,Open,195.66.226.78,2001:7f8:4::4456:1,5ce7.47dc.8200,Telehouse North (THN),edge6-thn xe-6/1/20,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
meerfarbig GmbH & Co. KG,http://,34549,Open,195.66.225.198,2001:7f8:4::86f5:1,40de.add1.efe4,Equinix LD8 Harbour Exchange (TCH),core3-tch xe-4/1/17 VLAN: 945,ConneXions,2000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
DigitalOcean,https://www.digitalocean.com/,14061,Selective,195.66.226.25,2001:7f8:4::36ed:1,24fc.4eb5.c664,Equinix LD6 (EQ4),edge1-eq4 1/1/c29/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
SG.GS,http://www.sg.gs/,24482,Open,195.66.244.69,2001:7f8:4:2::5fa2:1,c003.806e.500e,Equinix MA1 Williams House (TCW),edge6-tcw-man1 xe12 VLAN: 1906,ConneXions,1000,ConneXions,LINX Manchester,ConneXions-full,rs2.man1,rs1.man1,
Cato Networks (UK) Ltd,http://www.catonetworks.com,13150,Open,195.66.227.252,2001:7f8:4::335e:1,ca70.0102.ca70,Interxion LON2 (IN2),core3-in2 et-2/0/0,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Edgio ASN 22822 (Limelight),http://www.limelightnetworks.com/,22822,Selective,195.66.224.122,2001:7f8:4::5926:3,7483.efff.e523,Equinix LD6 (EQ4),edge1-eq4 4/1/c34/1,100G,100000,Regular,LINX LON1,full,,,
Fast4networks Ltd,https://www.fast2host.com/,48825,Open,195.66.227.201,2001:7f8:4::beb9:1,88e0.f394.87b9,Equinix LD8 Harbour Exchange (TCH),core4-tch et-2/0/2 VLAN: 43,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
atom86,https://atom86.net/,8455,Selective,195.66.227.118,2001:7f8:4::2107:1,5c5e.ab29.ab62,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 734,ConneXions,10000,ConneXions,LINX LON1,full,,,
Pinnacom,http://www.pinnacom.com,44749,Open,195.66.227.54,2001:7f8:4::aecd:1,c4ad.3484.e0c8,Telehouse West (THW),core3-thw xe-4/0/0 VLAN: 491,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
EE Limited,http://www.http://ee.co.uk/,12576,Selective,195.66.225.252,2001:7f8:4::3120:2,46aa.505b.1916,Equinix LD6 (EQ4),edge1-eq4 4/1/c19/1,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
WHG Hosting Services Ltd,http://,51713,Open,195.66.231.181,2001:7f8:4::ca01:1,,Telehouse North (THN),core4-thn xe-3/0/0,,10000,Regular,LINX LON1,full,,,
Andrews & Arnold Ltd,http://www.aaisp.net.uk,20712,Open,195.66.237.47,2001:7f8:4:1::50e8:1,9c89.1e09.0015,Telehouse North (THN),edge1-thn-lon2 xe14,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
SEACOM,http://www.seacom.mu,37100,Selective,195.66.226.41,2001:7f8:4::90ec:1,44aa.5093.47c0,Telehouse West (THW),core4-thw et-3/3/2,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Forte Telecom,http://www.fortetelecom.com.br,263009,Selective,195.66.227.186,2001:7f8:4::4:361:1,c8fe.6a49.03f1,Equinix LD8 Harbour Exchange (TCH),core3-tch et-2/4/3 VLAN: 102,ConneXions,2000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Packet Clearing House (PCH),http://www.pch.net/,42,Open,195.66.246.20,2001:7f8:4:3::2a:1,000c.2965.3b23,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe24,10G,10000,Regular,LINX Scotland,associate,rs2.sco1,rs1.sco1,
Sub 6 Limited,http://www.clook.net/,200083,Open,195.66.244.121,2001:7f8:4:2::3:d93:1,fc0a.81f9.cf15,Equinix MA3 Joule House (TCJ),edge3-tcj-man1 ce6/1 VLAN: 253,ConneXions,1000,ConneXions,LINX Manchester,full,,,
Broadband for the Rural North (B4RN),http://www.b4rn.org.uk,58273,Open,195.66.226.126,2001:7f8:4::e3a1:1,4c16.fcca.5fb0,Telehouse North (THN),core3-thn et-2/1/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Digitalk Limited,http://,62417,Open,195.66.231.58,2001:7f8:4::f3d1:1,4c5e.0c13.e481,Telehouse West (THW),core3-thw xe-5/1/20,10G,10000,Regular,LINX LON1,full,,,
MS3 Networks,http://,199452,Open,195.66.231.63,2001:7f8:4::3:b1c:1,24fc.4eba.4523,Telehouse North (THN),core3-thn et-3/3/0,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Brsk ISP Limited,http://,51809,Open,195.66.225.232,2001:7f8:4::ca61:1,b4f9.5d97.3944,Telehouse North (THN),core3-thn et-2/3/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Starlink Internet Services UK Ltd.,https://www.starlink.com/,14593,Open,206.55.196.7,2001:504:31::3901:1,ac3d.947d.77e4,Equinix DC2 (EQA),edge1-eqa-nva1 ethernet-1/11,100G,100000,Regular,LINX NoVA,full,rs1.nva1,rs2.nva1,
EdgeUno Inc,http://,7195,Selective,195.66.231.159,2001:7f8:4::1c1b:1,409e.a428.5e42,Telehouse North (THN),core4-thn et-4/5/0,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Flexoptix GmbH,http://www.flexoptix.net/,199121,Open,206.55.196.16,2001:504:31::3:9d1:1,b496.9129.710c,Equinix DC2 (EQA),edge2-eqa-nva1 ethernet-1/3/2 VLAN: 1927,ConneXions,100,ConneXions,LINX NoVA,full,rs1.nva1,rs2.nva1,
NCRYPTD,http://,34465,Selective,195.66.231.166,2001:7f8:4::86a1:1,f04a.02b8.4635,Telehouse East (THE),edge1-the 1/x1/1/c4/2,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Global Transit Singapore Pte ltd,http://Global Transit Singapore Pte ltd,9930,Selective,195.66.231.47,2001:7f8:4::26ca:1,9400.b090.05a0,Telehouse North (THN),core4-thn et-2/2/3 VLAN: 3510,ConneXions,10000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Clouvider Limited,https://www.clouvider.co.uk,62240,Open,195.66.231.108,2001:7f8:4::f320:4,74e7.98a4.6b54,Equinix LD6 (EQ4),edge1-eq4 5/1/c35/1 VLAN: 15,ConneXions,50000,ConneXions,LINX LON1,ConneXions-full,rs3.lon1,rs1.lon1,
Quickline Communications Limited,http://www.boundlessnetworks.co.uk,57099,Open,195.66.226.178,2001:7f8:4::df0b:1,9c5a.8000.ce58,Telehouse North2 (TH2),edge2-th2 1/x1/1/c10/1,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.226.190,2001:7f8:4::f25c:2,7483.ef2e.fa93,Interxion LON2 (IN2),core3-in2 et-2/4/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
MainOne Cable Company,http://www.mainonecable.com,37282,Selective,195.66.227.13,2001:7f8:4::91a2:1,08ec.f55a.3882,Telehouse North2 (TH2),edge2-th2 1/x1/1/c1/3,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
MyComms Ltd,http://,208833,Open,195.66.231.66,2001:7f8:4::3:2fc1:1,48a9.8a18.47c8,Telehouse North (THN),edge6-thn xe-1/1/19,10G,10000,Regular,LINX LON1,full,,,
Acme Internet Ltd,http://www.acme-internet.com/,51603,Open,195.66.225.59,2001:7f8:4::c993:1,b827.ebbc.3106,Telehouse North (THN),core4-thn et-2/4/1 VLAN: 1102,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
FirstNet Technology Services,http://www.firstnet.co.za,328366,Open,195.66.231.8,2001:7f8:4::5:2ae:2,c45e.5c21.cedf,Telehouse North (THN),core4-thn xe-3/0/16,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Voneus Ltd,http://www.lonsdalenet.co.uk,59811,Open,195.66.244.25,2001:7f8:4:2::e9a3:1,ec7c.5c08.0505,Equinix MA1 Williams House (TCW),edge8-tcw-man1 ce16/1,100G,100000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
TFM Networks Ltd,http://www.tfmnetworks.com,34790,Selective,195.66.237.7,2001:7f8:4:1::87e6:1,0896.ad26.7d0a,Equinix LD8 Harbour Exchange (TCH),edge3-tch-lon2 xe32,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Aspire Technology Solutions Ltd,http://www.aspirets.com/,51043,Open,195.66.238.200,2001:7f8:4:1::c763:1,c8fe.6a8f.e05e,Telehouse West (THW),edge1-thw-lon2 xe4,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
DSM Group,https://myhostingspace.co.uk,48070,Open,195.66.226.254,2001:7f8:4::bbc6:1,8478.ac64.e950,Telehouse North (THN),core3-thn ae222 VLAN: 50,ConneXions,2500,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Indigo Systems,http://indigo-systems.co.uk,213150,Open,195.66.244.238,2001:7f8:4:2:0:3:409e:1,288a.1c55.ad00,Equinix MA3 Joule House (TCJ),edge2-tcj-man1 xe33,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
Link broadband limited,http://,204316,Open,195.66.231.82,2001:7f8:4::3:1e1c:1,789a.18bd.578e,Telehouse West (THW),core3-thw xe-4/0/23,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Voxyonder Network Services UK Ltd,http://,206530,Open,195.66.231.32,2001:7f8:4::3:26c2:1,a036.9f49.f1aa,Telehouse North (THN),edge6-thn xe-1/0/10,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Odyssey Systems Limited,http://www.odyssey-systems.co.uk,204558,Open,195.66.231.77,2001:7f8:4::3:1f0e:1,d884.66eb.1715,Telehouse North2 (TH2),edge2-th2 1/x1/1/c3/2,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Connectivia SRL,https://connectivia.it/,207594,Open,195.66.231.55,2001:7f8:4::3:2aea:1,d45a.3fdf.5888,Equinix LD8 Harbour Exchange (TCH),core3-tch et-2/4/3 VLAN: 107,ConneXions,3000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
GNX B.V.,http://,42156,Open,195.66.231.129,2001:7f8:4::a4ac:1,08b2.58df.4388,Equinix LD8 Harbour Exchange (TCH),core3-tch xe-4/0/10,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
NTT Global Data Centers EMEA UK Ltd,http://www.gyron.net/,29017,Selective,195.66.224.141,2001:7f8:4::7159:1,e8a2.45c8.929b,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c6/3,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Red Matter Limited,http://www.redmatter.com,206483,Selective,195.66.227.192,2001:7f8:4::3:2693:1,f8f2.1ea1.8ef0,Telehouse North (THN),edge6-thn xe-6/0/15,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Sub 6 Limited,http://www.clook.net/,200083,Open,195.66.239.41,2001:7f8:4:1:0:3:d93:1,fc0a.81f9.cf15,Telehouse North2 (TH2),edge2-th2-lon2 ce5/1 VLAN: 251,ConneXions,1000,ConneXions,LINX LON2,full,,,
Orange Romania S.A (ASN8953),http://www.orange.ro,8953,Restrictive,195.66.226.101,2001:7f8:4::22f9:1,40ce.2418.aef7,Equinix LD8 Harbour Exchange (TCH),core3-tch et-2/4/3 VLAN: 101,ConneXions,20000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
RETN Ltd.,http://www.retn.net/,9002,Selective,195.66.224.193,2001:7f8:4::232a:1,74e7.9821.ad1d,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 10,ConneXions,90000,ConneXions,LINX LON1,ConneXions-full,rs1.lon1,rs3.lon1,
Packet Clearing House (PCH),http://www.pch.net/,3856,Open,195.66.225.239,2001:7f8:4::f10:1,000c.2905.74a6,Telehouse North (THN),edge6-thn xe-1/0/14,10G,10000,Regular,LINX LON1,associate,rs1.lon1,rs3.lon1,
Datatech UK Ltd,http://www.datatechuk.com,47622,Open,195.66.225.61,2001:7f8:4::ba06:1,288a.1cc8.0ece,Telehouse North (THN),core4-thn et-2/2/1 VLAN: 1848,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Automattic,http://www.automattic.com/,2635,Open,195.66.226.127,2001:7f8:4::a4b:1,985d.8228.0000,Equinix LD6 (EQ4),edge1-eq4 4/1/c13/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Layered Technologies,https://www.layeredtech.co.uk/,210893,Open,195.66.236.80,2001:7f8:4:1::3:37cd:1,00c1.642c.b1ff,Telehouse West (THW),edge1-thw-lon2 xe6,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Baltic Broadband Limited,http://www.balticbroadband.com,203421,Open,195.66.227.15,2001:7f8:4::3:1a9d:1,0004.969a.81e8,Telehouse North (THN),edge6-thn xe-3/0/3,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Netnorth Limited,http://www.netnorth.co.uk/,25376,Open,195.66.226.188,2001:7f8:4::6320:1,188b.9d6f.d540,Telehouse North (THN),edge6-thn xe-1/1/10 VLAN: 502,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
VeloxServ Communications Ltd,http://www.veloxserv.co.uk,3170,Selective,195.66.244.88,2001:7f8:4:2::c62:1,74e7.98b1.a287,TeleData Delta House (TDD),edge4-tdd-man1 ce3/1 VLAN: 2241,ConneXions,10000,ConneXions,LINX Manchester,ConneXions-full,rs2.man1,rs1.man1,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.231.51,2001:7f8:4::f25c:3,c4ca.2bff.d855,Equinix LD6 (EQ4),edge1-eq4 4/1/c22/1,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,5eb4.1a9a.6120,Telehouse North (THN),edge5-thn 1/1/c19/1,400G,400000,Regular,LINX LON1,full,,,
Zayo Group,http://www.zayo.com,6461,Restrictive,195.66.246.12,2001:7f8:4:3::193d:1,2242.4ea3.48ec,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe9,10G,10000,Regular,LINX Scotland,full,rs1.sco1,rs2.sco1,
Sub 6 Limited,http://www.clook.net/,200083,Open,195.66.236.49,2001:7f8:4:1::3:d93:2,fc0a.81f9.ca15,Telehouse North2 (TH2),edge2-th2-lon2 ce5/1 VLAN: 252,ConneXions,1000,ConneXions,LINX LON2,full,,,
CommCorp Communications,http://br.digital,14840,Open,195.66.224.8,2001:7f8:4::39f8:1,58e4.342d.e6e0,Telehouse North (THN),core4-thn ae217 VLAN: 603,ConneXions,10000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
OCTAPLUS NETWORKS LTD,http://www.octaplus.co.uk,205771,Open,195.66.224.192,2001:7f8:4::3:23cb:1,9819.2ca8.e001,Telehouse North (THN),core4-thn xe-3/0/7,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Go Internet Ltd,http://www.wightwireless.net,203649,Open,195.66.227.216,2001:7f8:4::3:1b81:1,4c5e.0c14.37b8,Telehouse North (THN),edge6-thn xe-2/0/22,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Voxyonder Network Services UK Ltd,http://,206530,Open,195.66.236.21,2001:7f8:4:1::3:26c2:1,a036.9f49.f1a8,Telehouse North (THN),edge6-thn-lon2 xe11,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Sub 6 Limited,http://www.clook.net/,200083,Open,195.66.236.93,2001:7f8:4:1::3:d93:3,fc0a.81f9.ca1a,Telehouse North (THN),edge2-thn-lon2 xe18 VLAN: 605,ConneXions,1000,ConneXions,LINX LON2,full,,,
Daisy Corporate Services Trading,http://www.daisyplc.com,5413,Selective,195.66.227.35,2001:7f8:4::1525:2,e030.f989.6820,Equinix LD8 Harbour Exchange (TCH),core3-tch et-3/2/0,100G,100000,Regular,LINX LON1,full,,,
34SP.com Ltd,http://www.34sp.com/,41357,Open,195.66.244.35,2001:7f8:4:2::a18d:1,ac1f.6b9e.13fe,TeleData Delta House (TDD),edge3-tdd-man1 xe1 VLAN: 2188,ConneXions,100,ConneXions,LINX Manchester,full,rs2.man1,rs1.man1,
LMAX Digital Exchange,http://www.lmaxdigital.com,39498,,195.66.237.101,2001:7f8:4:1::9a4a:1,fcbd.67c2.abe5,Equinix LD4 (EQ4),edge4-eq4-lon2 xe16,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Musarubra UK Subsidiary 3 Ltd,http://,203724,Open,195.66.244.136,2001:7f8:4:2:0:3:1bcc:2,4a39.8efc.734e,Equinix MA5 (MA5),edge1-ma5-man1 xe10,10G,10000,Regular,LINX Manchester,full,rs2.man1,rs1.man1,
Disney Streaming,http://,23344,Open,195.66.231.161,2001:7f8:4::5b30:2,cc1a.a313.d09b,Equinix LD6 (EQ4),edge1-eq4 1/1/c32/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Booking.com Limited,http://www.booking.com,202196,Open,195.66.227.63,2001:7f8:4::abdc:2,ec38.737a.c04c,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c8/1,10G,10000,Regular,LINX LON1,full,,,
