Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
IT.Gate S.p.A.,http://www.itgate.it,12779,Selective,195.66.226.31,2001:7f8:4::31eb:1,4055.3962.0ba1,Telehouse North (THN),edge6-thn xe-4/0/2,10G,10000,Regular,LINX LON1,ConneXions-full,rs1.lon1,rs3.lon1,
High Tide Group,http://hightidegroup.net,211501,Open,195.66.244.91,2001:7f8:4:2:0:3:3a2d:1,dc2c.6e51.cb7e,Equinix MA1 Williams House (TCW),edge5-tcw-man1 xe18 VLAN: 1393,ConneXions,1000,ConneXions,LINX Manchester,full,rs1.man1,rs2.man1,
The Constant Company Netherlands B.V,http://www.choopa.com,20473,Selective,195.66.226.176,2001:7f8:4::4ff9:1,0204.7319.8714,Interxion LON2 (IN2),core3-in2 et-2/2/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Anycast Holdings Pty Ltd,https://www.anycast.com.au/,58511,Open,195.66.238.214,2001:7f8:4:1::e48f:1,0462.736e.6e49,Telehouse North (THN),edge1-thn-lon2 xe5,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Equinix,http://www.equinix.com/,15830,Selective,195.66.224.82,2001:7f8:4::3dd6:1,0c86.10ef.c715,Equinix LD6 (EQ4),edge1-eq4 4/1/c35/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Emirates Integrated Telecommunication,http://www.du.ae/,15802,Open,195.66.225.104,2001:7f8:4::3dba:1,4c00.820b.daf7,Telehouse North (THN),core3-thn ae222 VLAN: 40,ConneXions,60000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Dropbox Ireland,http://www.dropbox.com,19679,Open,195.66.238.182,2001:7f8:4:1::4cdf:2,5c45.27d0.660b,Digital Realty Sovereign House (RBS),edge2-rbs-lon2 ce4/1,100G,100000,Regular,LINX LON2,full,,,
Packet Clearing House (PCH),http://www.pch.net/,3856,Open,195.66.246.22,2001:7f8:4:3::f10:1,000c.2931.e369,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe25,10G,10000,Regular,LINX Scotland,associate,rs1.sco1,rs2.sco1,
Vodacom Pty Ltd,http://www.vodacom.co.za,36994,Selective,195.66.226.240,2001:7f8:4::9082:1,bc2c.e631.b24f,Telehouse North (THN),core4-thn et-4/5/3,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Freethought Internet Limited,http://www.freethought-internet.co.uk,41000,Open,195.66.226.215,2001:7f8:4::a028:1,a80c.0d1f.a34c,Telehouse North (THN),edge6-thn xe-1/1/13 VLAN: 4000,ConneXions,2000,ConneXions,LINX LON1,ConneXions-full,rs1.lon1,rs3.lon1,
Barritel Limited,http://www.barritel.com,210062,Open,195.66.236.22,2001:7f8:4:1::3:348e:1,e839.35c5.acdc,Telehouse North (THN),edge2-thn-lon2 xe32,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
iNET Communications Limited,https://www.inet.com.gh,37727,Open,195.66.227.157,2001:7f8:4::935f:1,c469.f0b2.34d6,Equinix LD8 Harbour Exchange (TCH),core4-tch ge-3/1/3,1000,1000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Sota Solutions,http://www.sota.co.uk,31742,Open,195.66.239.142,2001:7f8:4:1::7bfe:1,e0ac.f116.dd96,Telehouse East (THE),edge1-the-lon2 xe46,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Marlink SAS,https://marlink.com,5377,Open,195.66.224.43,2001:7f8:4::1501:1,cc16.7e24.ad20,Telehouse North (THN),core3-thn ae214 VLAN: 11,ConneXions,4000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Wide FM Ltd,https://www.widefm.co.uk/,60670,Open,195.66.227.172,2001:7f8:4::ecfe:1,dc2c.6ee0.88eb,Telehouse North (THN),edge6-thn xe-2/0/23,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Nomical Limited,http://nomical.com,205892,Open,195.66.227.177,2001:7f8:4::3:2444:1,ec7c.5c1c.3fe6,Equinix LD8 Harbour Exchange (TCH),core4-tch xe-3/1/20,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
PSD Group,http://,206626,Open,195.66.231.80,2001:7f8:4::3:2722:1,f26b.cc38.ab23,Telehouse North (THN),edge6-thn xe-3/1/13,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Noraina Ltd,http://,48305,Open,195.66.226.247,2001:7f8:4::bcb1:1,0016.b259.2d4f,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c11/2,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
YOTI Ltd,http://,204050,Open,195.66.236.51,2001:7f8:4:1::3:1d12:1,0c86.10c6.4850,Equinix LD4 (EQ4),edge2-eq4-lon2 xe16,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Fibre Assets Ltd,http://,205975,Open,195.66.231.7,2001:7f8:4::3:2497:1,9c5a.8025.b927,Telehouse North (THN),edge6-thn xe-6/1/22,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
ITS Technology Group Limited,http://www.itstechnologygroup.com/,41354,Open,195.66.236.109,2001:7f8:4:1::a18a:2,0000.0000.0000,Equinix LD8 Harbour Exchange (TCH),edge1-tch-lon2 xe7,,10000,Regular,LINX LON2,full,,,
Stellium Datacenters Ltd,http://,206324,Open,195.66.224.127,2001:7f8:4::3:25f4:1,40ce.24d2.783f,Telehouse North (THN),core4-thn et-2/2/1 VLAN: 1889,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Manx Telecom Ltd.,http://www.manx-telecom.com,13122,Open,195.66.231.171,2001:7f8:4::3342:2,,Telehouse West (THW),core4-thw et-2/0/1,,100000,Regular,LINX LON1,full,,,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.238.190,2001:7f8:4:1::f25c:2,7483.ef2e.fa93,Interxion LON2 (IN2),edge2-in2-lon2 ce3/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Zone Telecommunications T/A Zone Broadband,http://,35437,Open,195.66.224.178,2001:7f8:4::8a6d:1,7ce2.cafd.47f0,Telehouse North (THN),core3-thn et-3/1/1 VLAN: 2123,ConneXions,4000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
WIOCC,http://www.wiocc.net,37662,Selective,195.66.226.85,2001:7f8:4::931e:1,2c6b.f5a5.67c6,Telehouse North (THN),core3-thn et-3/0/1,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Ankr PBC,https://www.ankr.com/,62902,Selective,195.66.236.44,2001:7f8:4:1::f5b6:1,9c69.b465.e336,Telehouse North (THN),edge3-thn-lon2 xe7,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
