ProviderID,asn,name,ipv6,ip_addresses
699,137671,ASN 137671,True,"103.115.147.114, 103.115.147.115, 2001:de8:c000::114, 2001:de8:c000::115"
699,137851,ASN 137851,True,"103.115.147.253, 103.115.147.254, 2001:de8:c000::253, 2001:de8:c000::254"
699,141491,ASN 141491,True,"103.115.147.116, 2001:de8:c000::116"
699,207722,ASN 207722,True,"103.115.147.110, 2001:de8:c000::110"
699,58909,ASN 58909,True,"103.115.147.121, 2001:de8:c000::121"
699,45582,D-Atum Vilcom,True,"103.115.147.124, 2001:de8:c000::124"
699,11344,Google,True,103.90.158.126
699,63293,Meta,True,"103.115.147.130, 2001:de8:c000::130"
699,8674,Netnod AB,True,"103.115.147.123, 2001:de8:c000::123"
699,10225,Nettlinx Limited,True,"103.115.147.108, 2001:de8:c000::108"
699,968,Packetframe,True,"103.115.147.113, 2001:de8:c000::113"
699,135133,PI Datacenters Pvt Ltd,True,"103.115.147.101, 103.115.147.102, 2001:de8:c000::101, 2001:de8:c000::102"
699,141864,Sai Sri Technologies (Myguru),True,"103.115.147.138, 2001:de8:c000::138"
699,142470,SREEDEVI COMMUNICATIONS,True,"103.115.147.112, 2001:de8:c000::112"
276,51088,A2B Internet,True,"185.1.94.17, 2001:7f8:b6::c790:1"
276,20940,"Akamai Technologies, Inc.",True,"185.1.94.11, 2001:7f8:b6::51cc:1"
276,8455,atom86,True,"185.1.94.31, 2001:7f8:b6::2107:1"
276,6774,Belgacom International Carrier Services / BICS,True,"185.1.94.34, 2001:7f8:b6::1a76:1"
276,22822,Edgio Inc.,True,"185.1.94.38, 185.1.94.42, 2001:7f8:b6::5926:1, 2001:7f8:b6::5926:2"
276,64404,EventInfra,True,"185.1.94.27, 2001:7f8:b6::fb94:1"
276,30781,Free Pro / Jaguar Network,True,"185.1.94.23, 2001:7f8:b6::783d:1"
276,199524,G-Core labs S.A,True,"185.1.94.35, 2001:7f8:b6::3:b64:1"
276,15169,Google Inc,True,"185.1.94.28, 2001:7f8:b6::3b41:1"
276,6939,Hurricane Electric,True,"185.1.94.16, 2001:7f8:b6::1b1b:1"
276,49544,i3D.net B.V.,True,"185.1.94.39, 2001:7f8:b6::c188:1"
276,30132,Internet Systems Consortium (ISC),True,"185.1.94.25, 2001:7f8:b6::75b4:1"
276,6830,Liberty Global Technology Services B.V. ,True,"185.1.94.45, 2001:7f8:b6::1aae:1"
276,8075,Microsoft Sweden 1172 AB,True,"185.1.94.41, 2001:7f8:b6::1f84:1"
276,41047,MLaBnet Foundation,True,"185.1.94.22, 2001:7f8:b6::a057:1"
276,8283,Netwerkvereniging Coloclue,True,"185.1.94.15, 2001:7f8:b6::205b:1"
276,200149,nikhef_AMS,True,"185.1.94.12, 2001:7f8:b6::3:dd5:1"
276,2603,NORDUnet A/S,True,"185.1.94.20, 2001:7f8:b6::a2b:1"
276,24875,NovoServe B.V.,True,"185.1.94.13, 2001:7f8:b6::612b:1"
276,202932,Quanza B.V.,True,"185.1.94.14, 2001:7f8:b6::3:18b4:1"
276,25595,Slashme BV,True,"185.1.94.10, 2001:7f8:b6::63fb:1"
276,1103,SURF B.V.,True,"185.1.94.21, 2001:7f8:b6::44f:1"
276,3303,Swisscom (Switzerland) Ltd.,True,"185.1.94.19, 2001:7f8:b6::ce7:1"
276,49981,WorldStream B.V.,True,"185.1.94.33, 2001:7f8:b6::c33d:1"
276,10310,Yahoo EMEA Limited,True,"185.1.94.29, 185.1.94.30, 2001:7f8:b6::2846:1, 2001:7f8:b6::2846:2"
276,6461,Zayo Group UK Limited ,True,"185.1.94.43, 2001:7f8:b6::193d:1"
276,8218,Zayo Infrastructure France S.A.,True,"185.1.94.44, 2001:7f8:b6::201a:1"
893,13335,031_Cloudflare,True,"200.0.20.10, 2001:13C7:6004::A501:3335:1"
893,20940,"Akamai Technologies, Inc.",True,"200.0.20.25, 2001:13C7:6004::A502:940:1"
893,28017,AMS-IX Caribbean Native Router,True,"200.0.20.1, 2001:13c7:6004::a502:8017:1"
893,52462,AMS-IX Caribbean Route Servers,True,"200.0.20.251, 200.0.20.252, 2001:13c7:6004::a505:2462:1, 2001:13c7:6004::a505:2462:2"
893,52233,Columbus Communications Curacao N.V.,True,"200.0.20.23, 2001:13C7:6004::A505:2233:1"
893,27660,Curacao Telecom (dba Digicel) N.V.,True,"200.0.20.27, 2001:13C7:6004::A502:7660:1"
893,26505,E-Commerce Park N.V.,True,"200.0.20.17, 200.0.20.2, 2001:13C7:6004::A502:6505:1, 2001:13C7:6004::A502:6505:2"
893,27694,Flamingo Television Bonaire B.V.,True,"200.0.20.9, 2001:13C7:6004::A502:7694:1"
893,64567,Google,True,"200.0.20.26, 2001:13C7:6004::A506:4567:1"
893,61474,Infotrans,True,"200.0.20.250, 2001:13C7:6004::A506:1474:1"
893,52389,SabaStatiaCableSystem B.V,True,"200.0.20.7, 2001:13C7:6004::A505:2389:1"
893,272996,Sincere Networks B.V,True,"200.0.20.253, 2001:13C7:6004:0:A500:27:2996:1"
893,265825,Sincere Networks B.V.,True,"200.0.20.11, 2001:13C7:6004:0:A500:26:5825:2"
893,27745,Telbo N.V.,True,"200.0.20.22, 200.0.20.24, 2001:13C7:6004::A502:7745:1, 2001:13C7:6004::A502:7745:2"
1364,13335,031_Cloudflare,True,"2001:504:3D:1:0:A501:3335:1, 206.41.106.62"
1364,42,037_PCH AS42,True,"2001:504:3D:1:0:A500:42:1, 206.41.106.52"
1364,3856,038_PCH AS3856,True,"2001:504:3D:1:0:A500:3856:1, 206.41.106.51"
1364,7575,AARNet,True,"2001:504:3D:1:0:A500:7575:1, 206.41.106.55"
1364,62981,AMS-IX Bay Area Native Router,True,"2001:504:3d:1:0:a506:2981:1, 206.41.106.1"
1364,62972,AMS-IX Bay Area Route Servers,True,"2001:504:3d:1:0:a506:2972:1, 2001:504:3d:1:0:a506:2972:2, 206.41.106.251, 206.41.106.252"
1364,7500,APNIC,True,"2001:504:3D:1:0:A500:7500:1, 206.41.106.79"
1364,6994,"Fastmetrics, Inc.",True,"2001:504:3D:1:0:A500:6994:1, 206.41.106.28"
1364,25875,"FriendFinder Networks, Inc.",True,206.41.106.26
1364,15169,Google Inc,True,"2001:504:3D:1:0:A501:5169:1, 2001:504:3D:1:0:A501:5169:2, 206.41.106.61, 206.41.106.63"
1364,9304,HGC Global Communications Limited,True,"2001:504:3D:1:0:A500:9304:1, 206.41.106.36"
1364,6939,Hurricane Electric,True,"2001:504:3D:1:0:A500:6939:1, 206.41.106.27"
1364,399606,Imaging Bay Inc,True,"2001:504:3D:1:A500:39:9606:1, 206.41.106.54"
1364,29791,Internap,True,"2001:504:3D:1:0:A502:9791:1, 206.41.106.64"
1364,27321,Internet Systems Consortium(ISC),True,"2001:504:3D:1:0:A502:7321:1, 206.41.106.38"
1364,16524,MetTel,True,"2001:504:3D:1:0:A501:6524:1, 206.41.106.66"
1364,8075,Microsoft Sweden 1172 AB,True,"2001:504:3D:1:0:A500:8075:1, 206.41.106.72"
1364,397494,"netsapiens, inc",True,206.41.106.40
1364,55256,Netskope UK LTD,True,"2001:504:3D:1:0:A505:5256:1, 2001:504:3D:1:0:A505:5256:2, 206.41.106.3, 206.41.106.71"
1364,14340,"Salesforce.com, Inc.",True,"2001:504:3D:1:0:A501:4340:1, 206.41.106.70"
1364,15133,Verizon Digital Media Services (EdgeCast Networks),True,"2001:504:3D:1:0:A501:5133:1, 206.41.106.80"
1364,22296,Vorsk,True,"2001:504:3D:1:0:A502:2296:1, 206.41.106.19"
1364,19165,Webpass,True,"2001:504:3D:1:0:A501:9165:1, 206.41.106.18"
1364,10310,Yahoo EMEA Limited,True,"2001:504:3D:1:0:A501:310:1, 206.41.106.57"
1242,58907,Acquire BPO,True,206.108.115.7
1242,23367,"Adaptive Data Networks, LLC",True,"2001:504:38:1:0:A502:3367:1, 206.108.115.53"
1242,16509,Amazon,True,"2001:504:38:1:0:A501:6509:1, 206.108.115.36"
1242,62981,AMS-IX Bay Area Native Router,True,"2001:504:38:1:0:a506:2981:1, 206.108.115.1"
1242,62972,AMS-IX Bay Area Route Servers,True,"2001:504:38:1:0:a506:2972:1, 2001:504:38:1:0:a506:2972:2, 206.108.115.251, 206.108.115.252"
1242,32899,Bresco Broadband,True,"2001:504:38:1:0:A503:2899:1, 206.108.115.64"
1242,22822,Edgio Inc.,True,"2001:504:38:1:0:A502:2822:1, 206.108.115.24"
1242,40934,Fortinet,True,"2001:504:38:1:0:A504:934:1, 206.108.115.59"
1242,15169,Google Inc,True,"2001:504:38:1:0:A501:5169:1, 2001:504:38:1:0:A501:5169:2, 206.108.115.40, 206.108.115.6"
1242,11019,HAProxy Technologies,True,"2001:504:38:1:0:A501:1019:1, 206.108.115.49"
1242,9304,HGC Global Communications Limited,True,"2001:504:38:1:0:A500:9304:1, 206.108.115.26"
1242,6939,Hurricane Electric,True,"2001:504:38:1:0:A500:6939:1, 206.108.115.13"
1242,396850,Illinois Rural HealthNet,True,"2001:504:38:1:A500:39:6850:1, 206.108.115.12"
1242,395505,iManage Cloud,True,"2001:504:38:1:A500:39:5505:1, 206.108.115.57"
1242,16524,MetTel,True,"2001:504:38:1:0:A501:6524:1, 206.108.115.45"
1242,8075,Microsoft Sweden 1172 AB,True,"2001:504:38:1:0:A500:8075:1, 206.108.115.47"
1242,397494,"netsapiens, inc",True,"2001:504:38:1:A500:39:7494:1, 206.108.115.3"
1242,55256,Netskope UK LTD,True,"2001:504:38:1:0:A505:5256:1, 206.108.115.54"
1242,23473,Pavlov Media,True,"2001:504:38:1:0:A502:3473:1, 206.108.115.15"
1242,14340,"Salesforce.com, Inc.",True,"2001:504:38:1:0:A501:4340:1, 206.108.115.55"
1242,32748,Steadfast,True,"2001:504:38:1:0:A503:2748:1, 206.108.115.35"
1242,15133,Verizon Digital Media Services (EdgeCast Networks),True,"2001:504:38:1:0:A501:5133:1, 206.108.115.60"
1242,10310,Yahoo EMEA Limited,True,"2001:504:38:1:0:A501:310:1, 206.108.115.37"
1203,15967, nazwa.pl ,True,"2001:7F8:1::A501:5967:1, 80.249.213.237"
1203,23944, SKY Cable Corporation,True,"2001:7F8:1::A502:3944:1, 80.249.214.0"
1203,9123, TimeWeb,True,"2001:7F8:1::A500:9123:1, 80.249.215.13"
1203,4445, Vodafone Carrier Services,True,"193.105.101.241, 193.105.101.242, 193.105.101.79, 193.105.101.80, 2001:7F8:86:1:0:A500:4445:1, 2001:7F8:86:1:0:A500:4445:2, 2001:7F8:86:2:0:A500:4445:1, 2001:7F8:86:2:0:A500:4445:2"
1203,140443,003_Herza Digital Indonesia,True,"2001:7F8:1:0:A500:14:443:1, 80.249.214.177"
1203,55685,007_PT. Jala Lintas Media,True,"2001:7F8:1::A505:5685:1, 80.249.215.12"
1203,21859,010_Zenlayer,True,"2001:7F8:1::A502:1859:1, 80.249.210.34"
1203,4800,023_Lintasarta,True,"2001:7F8:1::A500:4800:1, 80.249.214.190"
1203,13335,031_Cloudflare,True,"2001:7F8:1::A501:3335:1, 2001:7F8:1::A501:3335:2, 80.249.210.118, 80.249.211.140"
1203,42,037_PCH AS42,True,"2001:7F8:1::A500:42:1, 80.249.208.250"
1203,3856,038_PCH AS3856,True,"2001:7F8:1::A500:3856:1, 80.249.209.250"
1203,32934,039_Meta,True,"2001:7F8:1::A503:2934:1, 2001:7F8:1::A503:2934:2, 2001:7F8:1::A503:2934:3, 2001:7F8:1::A503:2934:4, 80.249.209.115, 80.249.209.164, 80.249.212.174, 80.249.212.175"
1203,47447,23media GmbH,True,"2001:7F8:1::A504:7447:1, 80.249.213.56"
1203,39351,31173 Services AB,True,"2001:7F8:1::A503:9351:1, 80.249.213.131"
1203,8038,6connect,True,"2001:7F8:1::A500:8038:1, 80.249.213.45"
1203,51088,A2B Internet,True,"2001:7F8:1::A505:1088:1, 80.249.208.209"
1203,56987,ABACLOUDA,True,"2001:7F8:1::A505:6987:1, 80.249.211.234"
1203,204196,Abelohost B.V.,True,"2001:7F8:1:0:A500:20:4196:1, 80.249.213.233"
1203,36182,Accretive Networks ,True,"2001:7F8:1::A503:6182:1, 80.249.213.182"
1203,53062,Acessoline Telecomunicações LDA,True,"2001:7F8:1::A505:3062:1, 80.249.213.38"
1203,35793,Acronis Netherlands B.V.,True,"2001:7F8:1::A503:5793:1, 80.249.215.35"
1203,57976,Activision Blizzard UK Ltd,True,"2001:7F8:1::A505:7976:1, 80.249.208.83"
1203,197790,Actus Info Sp z o.o,True,"2001:7F8:1:0:A500:19:7790:1, 80.249.213.63"
1203,43142,Adeli,True,"2001:7F8:1::A504:3142:1, 80.249.210.190"
1203,39637,Ades B.V.,True,"2001:7F8:1::A503:9637:1, 80.249.208.188"
1203,16347,ADISTA SAS,True,"2001:7F8:1::A501:6347:1, 80.249.208.202"
