"ProviderID","name","addresses","router_server_asns"
"649","NAPAfrica DB1 Peering","196.10.141.0/24, 196.10.141.0/24, 2001:43f8:6d2::/64, 2001:43f8:6d2::/64",
"351","NAPAfrica JB1 Peering","196.60.8.0/22, 196.60.8.0/22, 2001:43f8:6d0::/64, 2001:43f8:6d0::/64",
"977","","",
"901","NCL-IX","185.1.195.0/24, 2001:7f8:34::/64",
"901","NCL-IX Quarantine","185.1.195.0/24, 2001:7f8:34::/64",
"413","ISP","185.1.226.0/0, 2001:67c:29f0::/0",
"294","IX-CPH-BLUE-9000","2001:7f8:d:202::/64/64, 212.237.192.0/24/24",
"294","IX-CPH-GREEN-9000","2001:7f8:d:203::/64/64, 212.237.193.0/24/24",
"294","IX-STH-BLUE-1500","194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",
"294","IX-STH-BLUE-4470","195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",
"294","IX-STH-GREEN-1500","194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",
"294","IX-STH-GREEN-4470","195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",
"100","IX-GBG-BLUE-1500","194.68.130.0/24/24, 2001:7f8:d:100::/64/64",
"100","IX-GBG-BLUE-4470","195.69.116.0/24/24, 2001:7f8:d:101::/64/64",
"986","IX-STH-BLUE-1500","194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",
"986","IX-STH-BLUE-4470","195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",
"986","IX-STH-GREEN-1500","194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",
"986","IX-STH-GREEN-4470","195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",
"986","NETNOD-HELSINKI-IX-BLUE-9K","185.1.230.0/25/25, 2001:7f8:122::/49/49",
"986","NETNOD-HELSINKI-IX-GREEN-9K","185.1.230.128/25/25, 2001:7f8:122:8000::/49/49",
"145","IX-LUL-BLUE-9000","194.68.131.64/26/26, 2001:7f8:d:400::/64/64",
"5","IX-CPH-BLUE-9000","2001:7f8:d:202::/64/64, 212.237.192.0/24/24",
"5","IX-CPH-GREEN-9000","2001:7f8:d:203::/64/64, 212.237.193.0/24/24",
"5","IX-GBG-BLUE-1500","194.68.130.0/24/24, 2001:7f8:d:100::/64/64",
"5","IX-GBG-BLUE-4470","195.69.116.0/24/24, 2001:7f8:d:101::/64/64",
"5","IX-STH-BLUE-1500","194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",
"5","IX-STH-BLUE-4470","195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",
"5","IX-STH-GREEN-1500","194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",
"5","IX-STH-GREEN-4470","195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",
"5","IX-SVL-BLUE-1500","194.68.133.0/24/24, 2001:7f8:d:300::/64/64",
"5","IX-SVL-BLUE-4470","194.68.135.0/24/24, 2001:7f8:d:301::/64/64",
"5","NETNOD-HELSINKI-IX-BLUE-9K","185.1.230.0/25/25, 2001:7f8:122::/49/49",
"102","IX-LUL-BLUE-9000","194.68.131.64/26/26, 2001:7f8:d:400::/64/64",
"102","IX-STH-BLUE-1500","194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",
"102","IX-STH-BLUE-4470","195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",
"102","IX-STH-GREEN-1500","194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",
"102","IX-STH-GREEN-4470","195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",
"102","IX-SVL-BLUE-1500","194.68.133.0/24/24, 2001:7f8:d:300::/64/64",
"102","IX-SVL-BLUE-4470","194.68.135.0/24/24, 2001:7f8:d:301::/64/64",
"848","NIX-Service","103.146.134.0/24, 2001:df2:6080:e::/64",
"15","Peering VLAN","2001:7f8:14::/64, 91.210.16.0/22",
"552","Peering VLAN","194.30.187.0/24, 2001:7f8:91::/48",
"19","","193.156.90.0/24",
"45","","218.100.48.0/23",
