id,job_name,action,execution_time
382,Migration from MongoDB.2023-07-28 ,stop,2023-10-30 08:40:24
383,Migration from MongoDB. 2023-07-27 ,start,2023-10-30 08:40:24
384,Migration from MongoDB.2023-07-27 ,stop,2023-10-30 08:40:39
385,Migration from MongoDB. 2023-07-26 ,start,2023-10-30 08:40:39
386,Migration from MongoDB.2023-07-26 ,stop,2023-10-30 08:40:54
387,Migration from MongoDB. 2023-07-25 ,start,2023-10-30 08:40:54
388,Migration from MongoDB.2023-07-25 ,stop,2023-10-30 08:41:07
389,Migration from MongoDB. 2023-07-24 ,start,2023-10-30 08:41:07
390,Migration from MongoDB.2023-07-24 ,stop,2023-10-30 08:41:22
391,Migration from MongoDB. 2023-07-23 ,start,2023-10-30 08:41:22
392,Migration from MongoDB.2023-07-23 ,stop,2023-10-30 08:41:37
393,Migration from MongoDB. 2023-07-22 ,start,2023-10-30 08:41:37
394,Migration from MongoDB.2023-07-22 ,stop,2023-10-30 08:41:52
395,Migration from MongoDB. 2023-07-21 ,start,2023-10-30 08:41:52
396,Migration from MongoDB.2023-07-21 ,stop,2023-10-30 08:42:07
397,Migration from MongoDB. 2023-07-20 ,start,2023-10-30 08:42:07
398,Migration from MongoDB.2023-07-20 ,stop,2023-10-30 08:42:23
399,Migration from MongoDB. 2023-07-19 ,start,2023-10-30 08:44:31
400,Migration from MongoDB.2023-07-19 ,stop,2023-10-30 08:44:46
401,Migration from MongoDB. 2023-07-18 ,start,2023-10-30 08:44:46
402,Migration from MongoDB.2023-07-18 ,stop,2023-10-30 08:45:01
403,Migration from MongoDB. 2023-07-17 ,start,2023-10-30 08:45:01
404,Migration from MongoDB.2023-07-17 ,stop,2023-10-30 08:45:16
405,Migration from MongoDB. 2023-07-16 ,start,2023-10-30 08:45:16
406,Migration from MongoDB.2023-07-16 ,stop,2023-10-30 08:45:32
407,Migration from MongoDB. 2023-07-15 ,start,2023-10-30 08:45:32
408,Migration from MongoDB.2023-07-15 ,stop,2023-10-30 08:45:47
409,Migration from MongoDB. 2023-07-14 ,start,2023-10-30 08:45:47
410,Migration from MongoDB.2023-07-14 ,stop,2023-10-30 08:46:02
411,Migration from MongoDB. 2023-07-13 ,start,2023-10-30 08:46:02
412,Migration from MongoDB.2023-07-13 ,stop,2023-10-30 08:46:17
413,Migration from MongoDB. 2023-07-12 ,start,2023-10-30 08:46:17
414,Migration from MongoDB.2023-07-12 ,stop,2023-10-30 08:46:32
415,Migration from MongoDB. 2023-07-11 ,start,2023-10-30 08:46:32
416,Migration from MongoDB.2023-07-11 ,stop,2023-10-30 08:46:48
417,Migration from MongoDB. 2023-07-10 ,start,2023-10-30 08:46:48
418,Migration from MongoDB.2023-07-10 ,stop,2023-10-30 08:47:03
419,Migration from MongoDB. 2023-07-09 ,start,2023-10-30 08:47:03
420,Migration from MongoDB.2023-07-09 ,stop,2023-10-30 08:47:18
421,Migration from MongoDB. 2023-07-08 ,start,2023-10-30 08:47:18
422,Migration from MongoDB.2023-07-08 ,stop,2023-10-30 08:47:33
423,Migration from MongoDB. 2023-07-07 ,start,2023-10-30 08:47:33
424,Migration from MongoDB.2023-07-07 ,stop,2023-10-30 08:47:48
425,Migration from MongoDB. 2023-07-06 ,start,2023-10-30 08:47:48
426,Migration from MongoDB.2023-07-06 ,stop,2023-10-30 08:48:03
427,Migration from MongoDB. 2023-07-05 ,start,2023-10-30 08:48:03
